dice,iou,accuracy,hd95,sensitivity,precision,method,image,tumour_type,seconds
0.8637218045112782,0.760132340777502,0.9988937377929688,6.4031242374328485,0.9694092827004219,0.7788135593220339,otsu,brisc2025_test_00806_pi_ax_t1.jpg,pituitary,0.005873918533325195
0.47462487495831945,0.3111528876841691,0.9398956298828125,49.00357105677998,1.0,0.3111528876841691,otsu,brisc2025_test_00160_gl_co_t1.jpg,glioma,0.005525827407836914
0.6766673423879992,0.5113357843137255,0.9939155578613281,16.278820596099706,0.9526255707762558,0.5246777742848161,otsu,brisc2025_test_00701_pi_ax_t1.jpg,pituitary,0.004816770553588867
0.9307508622976917,0.8704714640198511,0.9990043640136719,3.561223913934418,0.9231578947368421,0.9384697699304441,otsu,brisc2025_test_00362_me_ax_t1.jpg,meningioma,0.005514860153198242
0.8446153496097749,0.7310252471542794,0.9739494323730469,34.660472029340134,0.9218695673769434,0.7793080282163252,otsu,brisc2025_test_00493_me_sa_t1.jpg,meningioma,0.005558013916015625
0.9647020725388601,0.9318110728808258,0.9991683959960938,2.23606797749979,0.9606578523057079,0.968780487804878,otsu,brisc2025_test_00284_me_ax_t1.jpg,meningioma,0.0052928924560546875
0.7843822843822844,0.6452540747842761,0.9957656860351562,18.384776310850235,0.9321329639889196,0.6770623742454729,otsu,brisc2025_test_00437_me_co_t1.jpg,meningioma,0.004948854446411133
0.9672999065711616,0.9366706875753921,0.9975967407226562,3.605551275463989,0.9598269468479604,0.9748901443816698,otsu,brisc2025_test_00323_me_ax_t1.jpg,meningioma,0.004596233367919922
0.8480131093814011,0.7361308677098151,0.9985847473144531,5.656854249492381,0.9241071428571429,0.7834973504920515,otsu,brisc2025_test_00867_pi_co_t1.jpg,pituitary,0.00527501106262207
0.9027586975086326,0.8227531131564699,0.9900093078613281,19.0,0.8860787172011662,0.9200787103610081,otsu,brisc2025_test_00295_me_ax_t1.jpg,meningioma,0.005526065826416016
0.9816578878553551,0.9639765223771093,0.9981269836425781,2.23606797749979,0.975426874536006,0.9879690202270848,otsu,brisc2025_test_00356_me_ax_t1.jpg,meningioma,0.005732059478759766
0.839390386869871,0.7232323232323232,0.9989547729492188,8.0,0.9521276595744681,0.750524109014675,otsu,brisc2025_test_00957_pi_sa_t1.jpg,pituitary,0.005792856216430664
0.7449649241909935,0.5935809592499098,0.9957008361816406,15.0,0.928369994359842,0.6220710506424793,otsu,brisc2025_test_00739_pi_ax_t1.jpg,pituitary,0.005501985549926758
0.7492768034713433,0.5990748436991796,0.9576797485351562,48.295941780889336,0.9527011494252874,0.6174389153754469,otsu,brisc2025_test_00155_gl_co_t1.jpg,glioma,0.005085945129394531
0.8172817281728173,0.6910197869101978,0.9976768493652344,14.866068747318506,0.9735525375268048,0.704239917269907,otsu,brisc2025_test_00733_pi_ax_t1.jpg,pituitary,0.00480198860168457
0.9702999925188898,0.9423132810229584,0.9984855651855469,3.1622776601683795,0.9597454491638301,0.981089258698941,otsu,brisc2025_test_00546_me_sa_t1.jpg,meningioma,0.005553245544433594
0.8991343620624764,0.8167521367521368,0.997955322265625,9.484190388082707,0.879926335174954,0.9191996921893035,otsu,brisc2025_test_00934_pi_sa_t1.jpg,pituitary,0.0062351226806640625
0.7885720095572162,0.6509441879983214,0.9841346740722656,28.284271247461902,0.8361362656317378,0.7461279461279461,otsu,brisc2025_test_00462_me_co_t1.jpg,meningioma,0.006048917770385742
0.7973919343153828,0.6630522088353413,0.9967994689941406,13.038404810405298,0.6738775510204081,0.9763453577764636,otsu,brisc2025_test_00126_gl_co_t1.jpg,glioma,0.004856109619140625
0.9055915048946408,0.8274711946634323,0.9978294372558594,8.0,0.8302403407362337,0.995985401459854,otsu,brisc2025_test_00167_gl_sa_t1.jpg,glioma,0.005544185638427734
0.8650137741046832,0.7621359223300971,0.9994392395019531,4.604101966249685,0.7733990147783252,0.98125,otsu,brisc2025_test_00929_pi_sa_t1.jpg,pituitary,0.006392002105712891
0.7251838235294118,0.5688536409516943,0.9977188110351562,27.37382159927925,0.5738181818181818,0.9850187265917603,otsu,brisc2025_test_00228_gl_sa_t1.jpg,glioma,0.0058362483978271484
0.8903292714544984,0.8023364485981308,0.9983863830566406,4.0,0.8023364485981308,1.0,otsu,brisc2025_test_00076_gl_ax_t1.jpg,glioma,0.004868030548095703
0.1358832666989228,0.07289418321903773,0.8705558776855469,100.3232272249997,1.0,0.07289418321903773,otsu,brisc2025_test_00034_gl_ax_t1.jpg,glioma,0.005143880844116211
0.878413189077795,0.7831878732200276,0.994598388671875,16.24795957619918,0.9518049869743208,0.8155293367346939,otsu,brisc2025_test_00495_me_sa_t1.jpg,meningioma,0.005289793014526367
0.6432184672382264,0.47407666725013126,0.9426918029785156,49.88278863841097,1.0,0.47407666725013126,otsu,brisc2025_test_00255_me_ax_t1.jpg,meningioma,0.005447864532470703
